"rt","responses","trial_type","trial_index","time_elapsed","internal_node_id","subject","mid","date","view_history","question","qtype","index"
"104344","{""Q0"":""I consent to participate in the study""}","irbform","0","104350","0.0-0.0","wfl43m5pun3s2ctgkwbmccljor5vxobl","DaniellePratt","1557350436383","","","",""
"44267","","instructions","1","149621","0.0-1.0","wfl43m5pun3s2ctgkwbmccljor5vxobl","DaniellePratt","1557350436383","[{""page_index"":0,""viewing_time"":2358},{""page_index"":1,""viewing_time"":5416},{""page_index"":2,""viewing_time"":21459},{""page_index"":3,""viewing_time"":9043},{""page_index"":4,""viewing_time"":5990}]","","",""
"20350","{""Q0"":""Something"",""Q1"":""Two men shaking their hands while they are greeting each other.""}","survey-multi-choice","2","170978","0.0-2.0","wfl43m5pun3s2ctgkwbmccljor5vxobl","DaniellePratt","1557350436383","","test","",""
"","","call-function","3","171981","0.0-3.0","wfl43m5pun3s2ctgkwbmccljor5vxobl","DaniellePratt","1557350436383","","","",""
"2617","","instructions","4","174598","0.0-4.0","wfl43m5pun3s2ctgkwbmccljor5vxobl","DaniellePratt","1557350436383","[{""page_index"":0,""viewing_time"":2617}]","","",""
"49128","{""Q0"":""In this image a man is explaining something in a pamphlet to a woman. They appear to be in some warehouse or factory like setting. They are both in US Navy uniform.""}","survey-text","5","224734","0.0-5.0","wfl43m5pun3s2ctgkwbmccljor5vxobl","DaniellePratt","1557350436383","","","Description","1"
"246376","{""Q0"":""You can see the upper right shoulder of the man and machinery behind him."",""Q1"":""This show the man's right forearm which has a tattoo."",""Q2"":""This shows the man's last name (Gomez) sewn onto his shirt on the right side of his chest"",""Q3"":""This is the man's face. He has something like headphones or earplugs in his right ear."",""Q4"":""This show the left shoulder of the man and the right shoulder of the woman with some negative space in between."",""Q5"":""This shows the man pointing to something in the pamphlet with his right pointer finger."",""Q6"":""This shows the right side of the women's shirt where he last name (Lopez) has been sewn on."",""Q7"":""This shows the woman's face looking down at what the man is pointing to."",""Q8"":""This shows the left side of the woman's chest and upper arm. It shows the US Navy writing on her uniform."",""Q9"":""This shows the women's upper left shoulder with a machine behind her.""}","survey-text","6","472121","0.0-6.0","wfl43m5pun3s2ctgkwbmccljor5vxobl","DaniellePratt","1557350436383","","","Labeling","1"
"4350508","{""Q0"":""This image shows a man sitting in a lawn chair fishing in a pond. He has two fishing poles in the water and buckets and bags around him. The pond is a very murky green and shadows of distant trees are projected on it.""}","survey-text","7","4823635","0.0-7.0","wfl43m5pun3s2ctgkwbmccljor5vxobl","DaniellePratt","1557350436383","","","Description","2"
"231769","{""Q0"":""This shows the edge of the picture where one third of the image is the grassy area and the remaining two thirds is the pond. One of the fishing poles is visible."",""Q1"":""This shows the water where some of the shadows of trees can be seen as well as the tips of both fishing poles"",""Q2"":""This shows the man's middle area sitting in the chair next to his buckets and bags in the grass."",""Q3"":""This shows the pond water with shadows projected on it and the back of the man's head in the lower right corner."",""Q4"":""This shows the backside of the man sitting in the chair with the pond behind him."",""Q5"":""This shows the bottom of the chair in the grassy area ahead of the bond with a rock in the grass."",""Q6"":""This shows a mostly clear picture of the bond with one distinct tree shadow visible."",""Q7"":""This shows an image of the bond with shadows visibly covering the majority of it."",""Q8"":""This shows a small image of the pond with another tree shadow on it."",""Q9"":""This is a very zoomed in pixelated portion of the pond.""}","survey-text","8","5056415","0.0-8.0","wfl43m5pun3s2ctgkwbmccljor5vxobl","DaniellePratt","1557350436383","","","Labeling","2"
"5197009","{""Q0"":""This image portrays two shattered light bulbs. There are pieces of the broken glass surrounding the remnants of the light bulbs. The lightbulb on the left is more broken than the lightbulb on the right.""}","survey-text","9","10254433","0.0-9.0","wfl43m5pun3s2ctgkwbmccljor5vxobl","DaniellePratt","1557350436383","","","Description","3"
